time,x_error,y_error,distance_error
1773612207185178345,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207247940199,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207300554959,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207370400863,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207431948123,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207506123116,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207574732764,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207641034755,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207705646977,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207767869082,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207847099943,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207910958252,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612207970992757,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612208044771983,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612208117595596,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612208185051450,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612208249915341,2.1900525093078613,-1.3411484956741333,2.481499433517456
1773612208323027770,2.066819429397583,-1.2790255546569824,2.3436026573181152
1773612208374285251,1.8339316844940186,-1.1255913972854614,2.0684497356414795
1773612208441048853,2.27630877494812,-1.2683888673782349,2.531364917755127
1773612208510155151,2.269695520401001,-1.248724102973938,2.5177013874053955
1773612208577316492,2.2565507888793945,-1.2096378803253174,2.490767002105713
1773612208757122518,2.24027156829834,-1.1612310409545898,2.457831382751465
1773612208784453284,1.982173204421997,-1.0093576908111572,2.1626574993133545
1773612208918572553,2.198716878890991,-1.0376663208007812,2.375969171524048
1773612208957162616,1.9469659328460693,-0.8971941471099854,2.092284679412842
1773612209001648346,1.9230883121490479,-0.8211244940757751,2.046363115310669
1773612209021009542,2.003915548324585,-0.7679423689842224,2.1089835166931152
1773612209050707306,2.083287477493286,-0.6944310069084167,2.1671478748321533
1773612209135110307,2.1667723655700684,-0.6171103119850159,2.231339693069458
1773612209193476159,2.121190309524536,-0.48638075590133667,2.162095546722412
1773612209249857376,2.200284719467163,-0.38533830642700195,2.2253429889678955
1773612209314250443,2.178417682647705,-0.3249228894710541,2.1963884830474854
1773612209380361824,2.5107297897338867,-0.16943201422691345,2.5151288509368896
1773612209452437928,2.462252378463745,-0.05067625269293785,2.4626519680023193
1773612209518382501,2.4115560054779053,0.07351525872945786,2.4124104976654053
1773612209590342291,2.5016252994537354,0.20716942846775055,2.508218288421631
1773612209650784038,2.624279260635376,0.2850700318813324,2.6362996101379395
1773612209719718221,2.9674110412597656,0.313230961561203,2.980584144592285
1773612209787934903,2.6162526607513428,0.3030725121498108,2.629868268966675
1773612209919007483,2.4608075618743896,0.3029320240020752,2.4750664234161377
1773612209988363628,2.612252950668335,0.3120431900024414,2.626701831817627
1773612210054160682,2.4571452140808105,0.3115244507789612,2.4722394943237305
1773612210125077905,2.317958354949951,0.3028028905391693,2.3328652381896973
1773612210190387824,2.0672576427459717,0.2949313819408417,2.082653284072876
1773612210267425860,2.0672576427459717,0.2949313819408417,2.082653284072876
1773612210324662487,2.064382553100586,0.30257371068000793,2.0806007385253906
1773612210392125930,2.1800336837768555,0.31851646304130554,2.1972954273223877
